Bulan,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Curah Hujan Menurut Bulan (Mm),Curah Hujan Menurut Bulan (Mm),Curah Hujan Menurut Bulan (Mm),Curah Hujan Menurut Bulan (Mm),Curah Hujan Menurut Bulan (Mm),Curah Hujan Menurut Bulan (Mm),Curah Hujan Menurut Bulan (Mm),Curah Hujan Menurut Bulan (Mm),Curah Hujan Menurut Bulan (Mm)
Januari,547.9,354.5,145.6,275.1,621.9,1075,412,136.6,214.1
Februari,231.9,223,230.7,157.9,146.6,689,639,451.75,520.8
Maret,141.4,175.8,147.7,173.6,184.4,174,221,293.5,138.7
April,92.7,63.1,106.8,196.2,204.3,168,111,192.25,156.5
Mei,223.4,112.1,198.9,118,101,47,79,112.05,135
Juni,74.4,187.7,70.5,67.2,256.7,174,48,186.4,138.5
Juli,10.4,219.2,18.1,13.6,256.7,214,1,188.6,119.9
Agustus,6.5,137.2,1.5,2.4,61.4,39,12,217.45,0.8
September,88.3,256.7,52.6,16.2,49.5,0,5,220.5,165.8
Oktober,63.3,365.6,80.1,44.3,110.1,52,6,172.75,112.4
November,303.7,167.6,44.6,251.9,196.6,65,103,152.4,195.3
Desember,189.1,142,177,254,338.9,211,194,41.7,254.1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
